"","1","2","3","4","5","6","7a","7b","7c","7d","8","9","10a","10b","11","12","13","14","15","16","17a","17b","18","19","20","21","22","24","26","28","30","33","34","35","36","37","38","39","40","R1","R2","R3","R4","R5","R6","R7","R8","R9"
"0009b464-b376-4fbc-8a56-da538269a02f",0.0319756754169498,0.0567343161927738,0.150167658871934,0,0.300545610896976,0,0,0,0,0,0.241806971579332,0,0,0,0,0,0.0614041927148489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157365574327185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040b1b6-b07a-4b6e-90ef-133523eaf412",0,0,0,0,0.574456929219805,0,0,0,0,0,0,0,0,0,0,0.0439497526537198,0,0,0,0.250357229732827,0,0,0.131236088393649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00493087-9d9d-40ca-86d5-936f1b951c93",0.187782407743671,0,0,0,0.812217592256329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00508f2b-36bf-44fc-b66b-97e1f3e40bfa",0.0838926948018619,0.0378801039533114,0,0,0.807165726092717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710614751521096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"005794f1-5a87-45b5-9811-83ddf6924568",0.0366715736190413,0,0,0,0.228747882599715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734580543781244,0,0,0,0,0,0,0,0,0
"005e85a3-3571-462d-8dc9-2babfc7ace21",0.203012213755463,0,0,0,0.684783417642594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112204368601943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"007aab66-2f07-459d-8952-3041d6ea24a8",0.0440516496728692,0.0214147551163058,0,0,0.934533595210825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"008aef39-0c97-48ce-9dfd-f12d67116c59",0.171264799116109,0,0,0,0.346967920233701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281458339380973,0,0,0,0,0,0.453621446712092,0,0,0,0,0,0,0,0,0
"008bad10-d41b-4bbb-86fa-9976ecea46b1",0.241074594372313,0,0,0,0.376913512451979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382011893175708,0,0,0,0,0,0,0,0,0
"00aa769d-622c-433e-8a8a-63fb5c41ea42",0.00683361401707288,0,0,0,0.06409231176413,0,0,0,0,0,0,0,0.533549364863915,0.199938036373008,0,0,0,0,0.0351066934879874,0,0,0,0,0,0,0,0,0,0,0.160479979493886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
